block	species	chr	chr_beg	chr_end	orientation
1162	CP032523	1	1613802	1615345	+
1162	CP026840	1	2139622	2141164	+
1162	CP034067	1	1588246	1589789	-
1162	HE616528	1	4404480	4406023	+
1162	CP045524	1	3226406	3227949	-
1162	CP026877	1	3569421	3570964	+
1162	CP026828	1	981675	983179	+
1162	CP045784	1	1803490	1805033	-
1162	CP022457	1	1486697	1488240	+
1162	CP026766	1	2617189	2618732	+
1162	CP026825	1	964999	966541	+
1162	CP034935	1	2586146	2587689	-
1162	CP026834	1	2926482	2928025	+
1162	LR213458	1	462134	463677	+
1162	CP011511	1	3967781	3969318	+
1162	CP026845	1	2744756	2746299	-
1162	CP026762	1	3699738	3701282	+
1162	CP023645	1	4368741	4370284	-
1162	CP000038	1	4282126	4283669	+
1162	CP022459	1	3359032	3360575	-
1162	CP049281	1	3387	4931	+
1162	CP022455	1	3284067	3285610	+
1162	CP026846	1	4718927	4720470	-
1162	CP037997	1	810195	811738	+
1162	CP026805	1	3039628	3041171	+
1162	CP026814	1	1931007	1932551	+
1162	CP001063	1	4066729	4068273	+
1162	CP026731	1	677324	678861	-
1161	CP060117	1	416943	418265	+
1161	CP060117	1	1813976	1815290	+
1161	CP049167	1	2636483	2637794	-
1161	CP049169	1	3398164	3399475	-
1161	CP049171	1	3260399	3261713	+
1161	CP049171	1	4432613	4433924	+
1161	CP045932	1	1785626	1786937	-
1161	CP045932	1	2997940	2999254	-
1161	CP045932	1	4378658	4379979	-
1161	CP045932	1	4581656	4582967	-
1161	CP049185	1	1066933	1068244	+
1161	CP049185	1	4685016	4686330	+
1161	CP049175	1	787989	789303	-
1161	CP049175	1	4410134	4411445	-
1161	CP019689	1	3531894	3533208	+
1161	CP019689	1	4810576	4811887	+
1161	CP049177	1	2530889	2532200	+
1161	CP049179	1	1256096	1257417	-
1161	CP049179	1	4762113	4763427	-
1161	CP010829	1	832301	833615	+
1161	CP010829	1	2041941	2043252	+
1161	CP053751	1	1796782	1798096	+
1161	CP053751	1	3000359	3001670	+
1161	CP041511	1	527578	528900	+
1161	CP041511	1	2087282	2088612	-
1161	CP041511	1	3211896	3213207	+
1161	CP049278	1	922943	924265	-
1161	CP049278	1	2982479	2983801	+
1161	CP049173	1	903736	905047	-
1161	CP049173	1	2109774	2111088	-
1161	CP049165	1	660294	661605	-
1161	CP049165	1	1875914	1877228	-
1161	CP044151	1	860747	862058	+
1161	CP044151	1	3138902	3140224	+
1161	CP044151	1	4570777	4572091	+
1161	CP014099	2	806162	807473	-
1161	CP014099	2	2017482	2018796	-
1161	CP035008	1	1790071	1791382	-
1161	CP035008	1	2973704	2975018	-
1161	CP046286	1	312774	314085	+
1161	CP046286	1	2354195	2355506	+
1161	CP046286	1	3983441	3984755	+
1161	CP022672	1	1568242	1569556	+
1161	CP026802	1	886087	887398	-
1161	CP026802	1	1318240	1319546	+
1161	CP026802	1	2160231	2161545	-
1161	CP026802	1	3629559	3630880	-
1161	CP021144	1	4823051	4824365	+
1161	CP032523	1	1611295	1612617	+
1161	CP032523	1	3043095	3044409	+
1161	CP032523	1	4327532	4328843	+
1161	CP034067	1	214052	215366	-
1161	HE616528	1	845251	846565	+
1161	HE616528	1	1696002	1697312	-
1161	HE616528	1	2133801	2135112	+
1161	HE616528	1	4401973	4403295	+
1161	HE616528	1	4474440	4475761	+
1161	CP045524	1	679849	681160	-
1161	CP045524	1	1852063	1853377	-
1161	CP022457	1	2859593	2860907	+
1161	CP022457	1	4135112	4136423	+
1161	LR213458	1	1834617	1835931	+
1161	LR213458	1	2922427	2923738	+
1161	CP023645	1	1784288	1785599	-
1161	CP023645	1	2985159	2986481	+
1161	CP023645	1	2996117	2997431	-
1161	CP000038	1	830215	831529	+
1161	CP000038	1	2039793	2041104	+
1161	CP000038	1	4279619	4280941	+
1161	CP022455	1	1042785	1044096	+
1161	CP022455	1	4656111	4657425	+
1161	CP026846	1	917368	918692	-
1161	CP026846	1	3080125	3081447	+
1161	CP049163	1	4466729	4468040	-
1161	CP027027	1	596400	597718	+
1161	CP027027	1	2408859	2410170	-
1160	CP060117	1	366700	367762	+
1160	CP045526	1	201494	202557	+
1160	CP045526	1	581279	582340	-
1160	CP045526	1	983153	984215	+
1160	CP045526	1	4265773	4266820	+
1160	CP000039	1	72052	73114	-
1160	CP049167	1	443631	444693	-
1160	CP049167	1	504385	505432	+
1160	CP049167	1	1746848	1747893	-
1160	CP049167	1	2557901	2558963	-
1160	CP049167	1	3340411	3341474	-
1160	CP049167	1	4139238	4140282	-
1160	CP049169	1	2509595	2510640	-
1160	CP049169	1	3319967	3321029	-
1160	CP049169	1	4061748	4062811	-
1160	CP049171	1	531197	532243	+
1160	CP049171	1	2967677	2968724	+
1160	CP049171	1	3769282	3770345	+
1160	CP049171	1	4511061	4512123	+
1160	CP045932	1	898204	899249	-
1160	CP045932	1	1707230	1708292	-
1160	CP045932	1	1830979	1832042	+
1160	CP045932	1	3291227	3292289	-
1160	CP045932	1	4094908	4095954	-
1160	CP045932	1	4428345	4429407	-
1160	CP045932	1	4490163	4491210	+
1160	CP049185	1	343028	344091	+
1160	CP049185	1	1145381	1146443	+
1160	CP049185	1	3197862	3198908	-
1160	CP049185	1	4392292	4393339	+
1160	CP049175	1	1437482	1438527	-
1160	CP049175	1	2214884	2215946	-
1160	CP049175	1	3523259	3524304	-
1160	CP019689	1	804066	805112	+
1160	CP019689	1	2046299	2047345	-
1160	CP019689	1	2106890	2107952	+
1160	CP019689	1	4040771	4041834	+
1160	CP019689	1	4888581	4889643	+
1160	CP049177	1	622576	623622	+
1160	CP049177	1	1780700	1781763	+
1160	CP049177	1	3418141	3419187	+
1160	CP049177	1	4665894	4666940	-
1160	CP049177	1	4726497	4727559	+
1160	CP049179	1	171856	172902	-
1160	CP049179	1	528375	529418	-
1160	CP049179	1	1305784	1306844	-
1160	CP049179	1	2614150	2615193	-
1160	CP049179	1	4253466	4254529	-
1160	CP010829	1	1343323	1344386	+
1160	CP010829	1	2120593	2121655	+
1160	CP010829	1	2124021	2125067	+
1160	CP010829	1	2929135	2930181	+
1160	CP010829	1	4171410	4172456	-
1160	CP010829	1	4232079	4233141	+
1160	CP053751	1	311759	312805	-
1160	CP053751	1	1502692	1503739	+
1160	CP053751	1	2291238	2292301	+
1160	CP053751	1	3079010	3080072	+
1160	CP053751	1	3886375	3887421	+
1160	CP041511	1	416646	417692	-
1160	CP041511	1	477337	478399	+
1160	CP041322	1	1014353	1015399	-
1160	CP041322	1	2205145	2206192	+
1160	CP041322	1	2993595	2994658	+
1160	CP041322	1	3780705	3781767	+
1160	CP049173	1	825337	826399	-
1160	CP049173	1	3569018	3570065	+
1160	CP053752	1	130262	131324	+
1160	CP049165	1	582097	583159	-
1160	CP049165	1	2168907	2169953	-
1160	CP049165	1	3363258	3364305	+
1160	CP044151	1	95120	96183	+
1160	CP044151	1	2245932	2246993	-
1160	CP044151	1	3028035	3029081	-
1160	CP044151	1	3088665	3089727	+
1160	CP044151	1	4265311	4266356	-
1160	CP014099	2	727760	728822	-
1160	CP014099	2	1508854	1509917	-
1160	CP014099	2	2311858	2312904	-
1160	CP014099	2	3491230	3492292	-
1160	CP014099	2	3551887	3552934	+
1160	CP014099	2	4798221	4799266	-
1160	CP035008	1	896564	897609	-
1160	CP046286	1	394010	395057	+
1160	CP046286	1	2488705	2489767	+
1160	CP046286	1	3689226	3690273	+
1160	CP046286	1	4305228	4306274	-
1160	CP046286	1	4492679	4493742	+
1160	CP022672	1	1270409	1271456	+
1160	CP022672	1	2075483	2076546	+
1160	CP022672	1	2247483	2248545	+
1160	CP022672	1	4102788	4103852	+
1160	CP022672	1	4159387	4160433	+
1160	CP026802	1	3680060	3681122	-
1160	CP026802	1	3740758	3741805	+
1160	CP019696	1	196664	197726	+
1160	CP021144	1	457491	458554	+
1160	CP021144	1	1238426	1239488	+
1160	CP021144	1	2046901	2047947	+
1160	CP021144	1	3291648	3292694	-
1160	CP021144	1	3352301	3353363	+
1160	CP021144	1	4530335	4531382	+
1160	CP032523	1	706915	707976	-
1160	CP032523	1	1500508	1501554	-
1160	CP032523	1	1561054	1562116	+
1160	CP032523	1	2737627	2738672	-
1160	CP032523	1	3530147	3531210	+
1160	CP034067	1	506991	508037	-
1160	CP034067	1	1640661	1641723	-
1160	CP034067	1	1701312	1702359	+
1160	CP034067	1	2946532	2947577	-
1160	CP034067	1	3749615	3750661	+
1160	CP034067	1	3756346	3757408	-
1160	CP034067	1	4533750	4534813	-
1160	HE616528	1	1469809	1470856	+
1160	HE616528	1	4289862	4290908	-
1160	HE616528	1	4350470	4351532	+
1160	CP045524	1	601651	602713	-
1160	CP045524	1	1343435	1344498	-
1160	CP045524	1	3278823	3279885	-
1160	CP045524	1	3339459	3340506	+
1160	CP045524	1	4581569	4582614	-
1160	CP046285	1	133703	134765	-
1160	CP022457	1	129841	130887	+
1160	CP022457	1	1374192	1375238	-
1160	CP022457	1	1434763	1435825	+
1160	CP022457	1	2566989	2568036	+
1160	CP022457	1	3368430	3369493	+
1160	CP022457	1	4213764	4214826	+
1160	CP053753	1	102381	103442	+
1160	LR213458	1	349529	350575	-
1160	LR213458	1	1540526	1541573	+
1160	LR213458	1	2296485	2297546	+
1160	LR213458	1	3001079	3002141	+
1160	LR213458	1	3790039	3791085	+
1160	CP010830	1	196668	197730	+
1160	CP023646	1	120994	122056	-
1160	CP023645	1	896254	897299	-
1160	CP023645	1	1705886	1706948	-
1160	CP023645	1	2486054	2487117	-
1160	CP023645	1	3286475	3287521	-
1160	CP023645	1	4421157	4422219	-
1160	CP023645	1	4481923	4482970	+
1160	CP000038	1	537494	538541	+
1160	CP000038	1	1341226	1342289	+
1160	CP000038	1	2118445	2119507	+
1160	CP000038	1	2926924	2927970	+
1160	CP000038	1	4169677	4170723	-
1160	CP000038	1	4230283	4231345	+
1160	CP022459	1	719987	721049	-
1160	CP022459	1	1503829	1504892	-
1160	CP022459	1	2303975	2305021	-
1160	CP022459	1	3411444	3412506	-
1160	CP022459	1	3472078	3473140	+
1160	CP022459	1	4717541	4718586	-
1160	CP022455	1	331688	332751	+
1160	CP022455	1	1121435	1122497	+
1160	CP022455	1	1928885	1929931	+
1160	CP022455	1	3171455	3172501	-
1160	CP022455	1	4362012	4363059	+
1160	CP037997	1	2663574	2664637	+
1160	CP049163	1	596930	597993	-
1160	CP049163	1	1385522	1386568	-
1160	CP049163	1	3580972	3582017	-
1160	CP049163	1	4388327	4389389	-
1159	CP060117	1	253024	254342	+
1159	CP041511	1	363658	364976	+
1159	CP044151	1	2973852	2975170	-
1159	CP026802	1	3793473	3794790	-
1159	CP032523	1	1446324	1447642	-
1159	HE616528	1	4236874	4238192	+
1158	CP060117	1	172111	173376	+
1158	CP060117	1	1738213	1739477	+
1158	CP060117	1	1746898	1748164	-
1158	CP060117	1	3975033	3976283	+
1158	CP045526	1	1813869	1815119	-
1158	CP045932	1	913523	914773	+
1158	CP053751	1	162626	163891	+
1158	CP053751	1	3870851	3872101	-
1158	CP041511	1	282746	284011	+
1158	CP041511	1	1848863	1850127	+
1158	CP041511	1	1857547	1858813	-
1158	CP041511	1	4085644	4086894	+
1158	CP044151	1	1800939	1802189	+
1158	CP044151	1	2911215	2912480	+
1158	CP044151	1	4495565	4496829	+
1158	CP022672	1	4782940	4784205	+
1158	CP026802	1	5558	6808	-
1158	CP026802	1	3874437	3875703	-
1158	CP032523	1	213333	214583	+
1158	CP032523	1	1383687	1384952	+
1158	CP032523	1	2967882	2969146	+
1158	CP032523	1	2974762	2976028	-
1158	HE616528	1	3050894	3052144	+
1158	CP026827	1	1097027	1098294	+
1158	LR213458	1	200399	201664	+
1158	LR213458	1	3774515	3775765	-
1158	CP023645	1	4617785	4619051	-
1158	CP022455	1	1913361	1914611	-
1158	CP022455	1	3022326	3023591	+
1158	CP049163	1	2486216	2487482	-
1158	CP049163	1	3596292	3597542	+
1158	CP032524	1	4329	5597	-
1157	CP060117	1	170654	171699	+
1157	CP060117	1	1129774	1130819	+
1157	CP045526	1	4504901	4505946	+
1157	CP049167	1	655996	657042	-
1157	CP049167	1	1332396	1333457	-
1157	CP049167	1	3906126	3907172	-
1157	CP049169	1	447960	449021	-
1157	CP049169	1	1418873	1419919	-
1157	CP049169	1	3274138	3275183	+
1157	CP049169	1	4627745	4628791	-
1157	CP049171	1	943739	944800	+
1157	CP049171	1	1621929	1622974	+
1157	CP049171	1	2592790	2593851	+
1157	CP049171	1	4556907	4557953	-
1157	CP045932	1	482971	484032	-
1157	CP045932	1	3055302	3056348	-
1157	CP045932	1	3666866	3667927	-
1157	CP045932	1	4643744	4644790	-
1157	CP049185	1	1191227	1192273	-
1157	CP049185	1	3046496	3047541	+
1157	CP049185	1	4017410	4018471	+
1157	CP049175	1	2427100	2428146	-
1157	CP049175	1	3107974	3109035	-
1157	CP019689	1	1217773	1218834	+
1157	CP019689	1	1894729	1895774	+
1157	CP019689	1	2865721	2866782	+
1157	CP049177	1	3833410	3834471	+
1157	CP049177	1	4514287	4515332	+
1157	CP049179	1	546624	547685	-
1157	CP049179	1	1518003	1519049	-
1157	CP049179	1	2198869	2199928	-
1157	CP010829	1	166137	167198	+
1157	CP010829	1	3342843	3343904	+
1157	CP010829	1	4019799	4020844	+
1157	CP053751	1	59358	60403	+
1157	CP053751	1	161169	162214	+
1157	CP053751	1	1131367	1132428	+
1157	CP053751	1	1739689	1740734	+
1157	CP041511	1	281289	282334	+
1157	CP041511	1	1240408	1241453	+
1157	CP041322	1	760844	761889	+
1157	CP041322	1	863793	864838	+
1157	CP041322	1	1833921	1834982	+
1157	CP049173	1	2749342	2750403	-
1157	CP049165	1	1933277	1934323	-
1157	CP044151	1	721081	722126	+
1157	CP044151	1	2909758	2910803	+
1157	CP014099	2	2685301	2686362	-
1157	CP014099	2	3704654	3705700	-
1157	CP014099	2	4383737	4384798	-
1157	CP035008	1	484045	485105	-
1157	CP035008	1	1664908	1665953	+
1157	CP035008	1	3031063	3032109	-
1157	CP035008	1	3640892	3641953	-
1157	CP046286	1	963456	964500	+
1157	CP046286	1	3321118	3322179	+
1157	CP046286	1	3924917	3925962	+
1157	CP046286	1	4711754	4712799	+
1157	CP022672	1	900243	901304	+
1157	CP022672	1	4781483	4782528	+
1157	CP026802	1	3876114	3877160	-
1157	CP021144	1	2461360	2462421	+
1157	CP021144	1	3140038	3141083	+
1157	CP021144	1	4112527	4113588	+
1157	CP021144	1	4765959	4767004	+
1157	CP032523	1	1382230	1383275	+
1157	CP032523	1	4187872	4188917	+
1157	CP034067	1	880432	881493	-
1157	CP034067	1	2532082	2533143	-
1157	HE616528	1	1453294	1454339	+
1157	HE616528	1	4154503	4155548	+
1157	CP045524	1	1909425	1910471	-
1157	CP045524	1	2519911	2520972	-
1157	CP045524	1	3490833	3491879	-
1157	CP022457	1	544108	545169	+
1157	CP022457	1	1221809	1222854	+
1157	CP022457	1	2193537	2194598	+
1157	LR213458	1	59358	60403	+
1157	LR213458	1	198942	199987	+
1157	LR213458	1	1169191	1170252	+
1157	LR213458	1	2709897	2710942	+
1157	CP023645	1	3662058	3663119	-
1157	CP023645	1	4619462	4620508	-
1157	CP000038	1	164047	165108	+
1157	CP000038	1	3340636	3341697	+
1157	CP000038	1	4017583	4018628	+
1157	CP022459	1	2070786	2071832	-
1157	CP022459	1	2652608	2653669	-
1157	CP022459	1	3623694	3624740	-
1157	CP022459	1	4303079	4304140	-
1157	CP022455	1	2919044	2920089	+
1157	CP022455	1	3020869	3021914	+
1157	CP022455	1	3990854	3991915	+
1157	CP037997	1	1517110	1518171	+
1157	CP049163	1	1148493	1149539	-
1157	CP049163	1	1756818	1757879	-
1157	CP049163	1	2487893	2488939	-
1156	CP060117	1	168832	170095	+
1156	CP060117	1	2272604	2273869	-
1156	CP060117	1	4126583	4127848	+
1156	CP049169	1	4132648	4133913	+
1156	CP049171	1	3358499	3359764	+
1156	CP049171	1	3698179	3699444	-
1156	CP045932	1	2561216	2562481	+
1156	CP049185	1	271925	273190	-
1156	CP049185	1	4783116	4784381	+
1156	CP049175	1	350249	351514	+
1156	CP049175	1	689939	691204	-
1156	CP019689	1	3629994	3631259	+
1156	CP019689	1	3969680	3970945	-
1156	CP049177	1	1369912	1371177	+
1156	CP049179	1	4324365	4325630	+
1156	CP049179	1	4664063	4665328	-
1156	CP010829	1	930401	931666	+
1156	CP010829	1	1272221	1273486	-
1156	CP053751	1	2192421	2193686	-
1156	CP041511	1	279467	280730	+
1156	CP041511	1	2383249	2384514	-
1156	CP041511	1	4237191	4238456	+
1156	CP049278	1	1249730	1250992	+
1156	CP049278	1	2115562	2116824	+
1156	CP049173	1	1714180	1715445	+
1156	CP049165	1	1259011	1260273	+
1156	CP049165	1	1438311	1439576	+
1156	CP044151	1	24607	25872	-
1156	CP014099	2	1579754	1581019	+
1156	CP014099	2	1919440	1920705	-
1156	CP035008	1	2875654	2876919	-
1156	CP046286	1	4420575	4421840	-
1156	CP022672	1	2005648	2006913	-
1156	CP026802	1	1753842	1755107	+
1156	CP021144	1	386977	388242	-
1156	CP021144	1	4921149	4922414	+
1156	CP032523	1	3459631	3460896	-
1156	CP034067	1	116010	117275	-
1156	CP034067	1	4604650	4605915	+
1156	CP026827	1	715644	716909	-
1156	CP026827	1	3042939	3044204	+
1156	CP022457	1	2957692	2958957	+
1156	CP022457	1	3297330	3298595	-
1156	LR213458	1	2197658	2198923	-
1156	CP023645	1	2556943	2558208	+
1156	CP023645	1	2896630	2897895	-
1156	CP000038	1	928316	929581	+
1156	CP000038	1	1270124	1271389	-
1156	CP000038	1	2001632	2002898	-
1156	CP022459	1	1574487	1575752	+
1156	CP022459	1	1915384	1916649	-
1156	CP022455	1	232874	234139	-
1156	CP026846	1	1356683	1357945	+
1156	CP026846	1	3346731	3347996	-
1156	CP049163	1	695542	696807	+
1155	CP060117	1	152034	154193	+
1155	CP060117	1	1244048	1246289	-
1155	CP060117	1	1669707	1671947	-
1155	CP060117	1	2112630	2114830	+
1155	CP060117	1	2291621	2293861	-
1155	CP060117	1	2813075	2815315	+
1155	CP045526	1	8595	10795	+
1155	CP045526	1	247463	249704	+
1155	CP045526	1	631695	633934	+
1155	CP045526	1	2904167	2906324	+
1155	CP045526	1	4423745	4425985	-
1155	CP045526	1	4806854	4809095	+
1155	CP000039	1	110996	113236	-
1155	CP049167	1	672236	674396	-
1155	CP049167	1	2908966	2911206	-
1155	CP049167	1	3530893	3533095	-
1155	CP049167	1	3589235	3591476	-
1155	CP049167	1	3983476	3985717	+
1155	CP049169	1	1435114	1437274	-
1155	CP049169	1	3632787	3635028	-
1155	CP049169	1	4251083	4253285	-
1155	CP049169	1	4310594	4312834	-
1155	CP049169	1	4707610	4709851	+
1155	CP049171	1	1604579	1606736	+
1155	CP049171	1	3122245	3124485	-
1155	CP049171	1	3519259	3521496	+
1155	CP049171	1	3578807	3581007	+
1155	CP049171	1	4197064	4199303	+
1155	CP045932	1	2262437	2264674	+
1155	CP045932	1	2680800	2683000	-
1155	CP045932	1	2739141	2741381	-
1155	CP045932	1	3135466	3137706	+
1155	CP045932	1	4659985	4662144	-
1155	CP049185	1	93002	95242	+
1155	CP049185	1	152554	154752	+
1155	CP049185	1	831384	833627	+
1155	CP049185	1	3029141	3031301	+
1155	CP049185	1	4546860	4549101	-
1155	CP049175	1	468683	470883	-
1155	CP049175	1	528206	530447	-
1155	CP049175	1	925215	927454	+
1155	CP049175	1	2443341	2445500	-
1155	CP049175	1	4732244	4734486	-
1155	CP019689	1	1877375	1879534	+
1155	CP019689	1	3393741	3395981	-
1155	CP019689	1	3790757	3792997	+
1155	CP019689	1	3850306	3852506	+
1155	CP019689	1	4528167	4530407	+
1155	CP049177	1	1133658	1135897	-
1155	CP049177	1	1530675	1532913	+
1155	CP049177	1	1590231	1592430	+
1155	CP049177	1	2207630	2209871	+
1155	CP049177	1	4496933	4499092	+
1155	CP049179	1	16093	18335	+
1155	CP049179	1	1534243	1536402	-
1155	CP049179	1	3823131	3825356	-
1155	CP049179	1	4442806	4445006	-
1155	CP049179	1	4502327	4504564	-
1155	CP026836	1	439971	442196	-
1155	CP010829	1	694147	696387	-
1155	CP010829	1	1093298	1095538	+
1155	CP010829	1	1152847	1155047	+
1155	CP010829	1	1769128	1771368	+
1155	CP010829	1	4002445	4004604	+
1155	CP053751	1	143816	145975	+
1155	CP053751	1	1658529	1660769	-
1155	CP053751	1	2041639	2043879	+
1155	CP053751	1	2101975	2104175	+
1155	CP053751	1	2337206	2339447	+
1155	CP053751	1	2724466	2726706	+
1155	CP041511	1	262669	264828	+
1155	CP041511	1	1354709	1356950	-
1155	CP041511	1	1780360	1782600	-
1155	CP041511	1	2223278	2225478	+
1155	CP041511	1	2402266	2404507	-
1155	CP041511	1	2923714	2925954	+
1155	CP041322	1	846459	848618	+
1155	CP041322	1	2360969	2363209	-
1155	CP041322	1	2744040	2746280	+
1155	CP041322	1	2804353	2806553	+
1155	CP041322	1	3039492	3041733	+
1155	CP049173	1	1178711	1180949	-
1155	CP049173	1	1569100	1571337	-
1155	CP049173	1	1803691	1805892	-
1155	CP049173	1	1863989	1866230	-
1155	CP049173	1	2247127	2249367	+
1155	CP049173	1	3737006	3739166	-
1155	CP053752	1	90141	92381	+
1155	CP049165	1	865853	868091	+
1155	CP049165	1	1556749	1558949	-
1155	CP049165	1	1616259	1618500	-
1155	CP049165	1	2013144	2015386	+
1155	CP049165	1	3530882	3533042	-
1155	CP044151	1	43624	45865	-
1155	CP044151	1	503461	505700	-
1155	CP044151	1	2892405	2894564	+
1155	CP044151	1	3968391	3970632	-
1155	CP044151	1	4427071	4429311	-
1155	CP044151	1	4869442	4871642	+
1155	CP014099	2	1080930	1083169	-
1155	CP014099	2	1698193	1700393	-
1155	CP014099	2	1757702	1759942	-
1155	CP014099	2	2154719	2156959	+
1155	CP014099	2	3720895	3723054	-
1155	CP035008	1	2036223	2038458	-
1155	CP035008	1	2654417	2656616	-
1155	CP035008	1	2713918	2716158	-
1155	CP035008	1	3110924	3113162	+
1155	CP035008	1	4627632	4629784	-
1155	CP046286	1	46354	48594	+
1155	CP046286	1	2275186	2277345	+
1155	CP046286	1	3843779	3846019	-
1155	CP046286	1	4239715	4241896	+
1155	CP046286	1	4302005	4304205	+
1155	CP022672	1	1025073	1027313	+
1155	CP022672	1	1427479	1429719	-
1155	CP022672	1	1828342	1830582	+
1155	CP022672	1	1887059	1889259	+
1155	CP022672	1	2125576	2127817	+
1155	CP022672	1	2408328	2410568	-
1155	CP022672	1	2510701	2512941	+
1155	CP022672	1	4705701	4707860	-
1155	CP026802	1	98294	100534	+
1155	CP026802	1	643067	645308	-
1155	CP026802	1	1170804	1173043	-
1155	CP026802	1	1733849	1736090	+
1155	CP026802	1	1870781	1872981	-
1155	CP026802	1	2306477	2308717	+
1155	CP026802	1	2731232	2733473	+
1155	CP026802	1	3892110	3894270	-
1155	CP019696	1	156543	158783	+
1155	CP021144	1	209116	211356	+
1155	CP021144	1	268664	270864	+
1155	CP021144	1	885642	887882	+
1155	CP021144	1	3122689	3124848	+
1155	CP021144	1	4684902	4687142	-
1155	CP032523	1	1364734	1366893	+
1155	CP032523	1	2440808	2443049	-
1155	CP032523	1	2899388	2901628	-
1155	CP032523	1	3341763	3343963	+
1155	CP032523	1	3478648	3480889	-
1155	CP032523	1	3940465	3942704	-
1155	CP034067	1	351230	353470	+
1155	CP034067	1	1869155	1871314	-
1155	CP034067	1	4105273	4107511	-
1155	CP034067	1	4723078	4725278	-
1155	CP034067	1	4782348	4784588	-
1155	HE616528	1	275739	277980	-
1155	HE616528	1	699606	701846	-
1155	HE616528	1	1135262	1137462	+
1155	HE616528	1	1270233	1272474	-
1155	HE616528	1	1844966	1847206	+
1155	HE616528	1	2957171	2959411	-
1155	HE616528	1	4137150	4139309	+
1155	CP045524	1	914464	916702	-
1155	CP045524	1	1532769	1534968	-
1155	CP045524	1	1592275	1594516	-
1155	CP045524	1	1989289	1991527	+
1155	CP045524	1	3507074	3509232	-
1155	CP046285	1	172657	174897	-
1155	CP022457	1	1204456	1206615	+
1155	CP022457	1	2721443	2723683	-
1155	CP022457	1	3119607	3121847	+
1155	CP022457	1	3177987	3180187	+
1155	CP022457	1	3836247	3838487	+
1155	LR213458	1	143831	145990	+
1155	LR213458	1	181588	183747	+
1155	LR213458	1	1696363	1698603	-
1155	LR213458	1	2046875	2049115	+
1155	LR213458	1	2107212	2109412	+
1155	LR213458	1	2342453	2344694	+
1155	LR213458	1	2729727	2731967	+
1155	CP010830	1	156546	158786	+
1155	CP023646	1	159938	162178	-
1155	CP023645	1	2056942	2059181	-
1155	CP023645	1	2675382	2677582	-
1155	CP023645	1	2734892	2737132	-
1155	CP023645	1	4635703	4637862	-
1155	CP000038	1	692062	694302	-
1155	CP000038	1	1091213	1093453	+
1155	CP000038	1	1150761	1152961	+
1155	CP000038	1	1766980	1769220	+
1155	CP000038	1	4000229	4002388	+
1155	CP022459	1	1071201	1073440	-
1155	CP022459	1	1694175	1696375	-
1155	CP022459	1	1753668	1755907	-
1155	CP022459	1	2148225	2150465	+
1155	CP022459	1	3639934	3642093	-
1155	CP022455	1	82150	84390	+
1155	CP022455	1	142429	144629	+
1155	CP022455	1	377656	379897	+
1155	CP022455	1	766895	769135	+
1155	CP022455	1	3003516	3005675	+
1155	CP022455	1	4517849	4520089	-
1155	HE616529	1	116645	118885	-
1155	CP037997	1	529647	531807	+
1155	CP037997	1	2031034	2033271	-
1155	CP037997	1	2414005	2416243	+
1155	CP037997	1	2474331	2476525	+
1155	CP037997	1	2709528	2711758	+
1155	CP037997	1	3099868	3102099	+
1155	CP049163	1	162539	164779	-
1155	CP049163	1	549785	552025	-
1155	CP049163	1	785053	787254	-
1155	CP049163	1	845351	847589	-
1155	CP049163	1	1228491	1230734	+
1155	CP049163	1	2504134	2506293	-
1154	CP060117	1	85404	86724	+
1154	CP060117	1	272523	273843	+
1154	CP060117	1	347262	348582	+
1154	CP060117	1	1337252	1338588	-
1154	CP060117	1	1368175	1369511	+
1154	CP060117	1	3646183	3647519	+
1154	CP060117	1	3939725	3941049	+
1154	CP060117	1	4444490	4445811	-
1154	CP045526	1	460882	462203	-
1154	CP045526	1	1786676	1788000	+
1154	CP045526	1	2983341	2984662	-
1154	CP045526	1	3004873	3006194	-
1154	CP049167	1	537600	538921	-
1154	CP049167	1	2085670	2087006	-
1154	CP049167	1	4284510	4285846	-
1154	CP049169	1	218370	219706	-
1154	CP049169	1	2361343	2362664	-
1154	CP049169	1	3805152	3806472	+
1154	CP049171	1	487447	488771	+
1154	CP049171	1	679172	680492	+
1154	CP049171	1	1718520	1719840	+
1154	CP049171	1	1739812	1741132	+
1154	CP049171	1	2822113	2823449	+
1154	CP049171	1	4025619	4026940	-
1154	CP045932	1	454050	455370	+
1154	CP045932	1	749175	750496	-
1154	CP045932	1	941431	942756	-
1154	CP045932	1	1236782	1238118	-
1154	CP045932	1	2090538	2091859	-
1154	CP045932	1	3438858	3440194	-
1154	CP045932	1	4448679	4450000	-
1154	CP045932	1	4523373	4524694	-
1154	CP045932	1	4728776	4730097	-
1154	CP049185	1	599366	600687	-
1154	CP049185	1	1912007	1913331	+
1154	CP049185	1	2103732	2105052	+
1154	CP049185	1	3143084	3144404	+
1154	CP049185	1	3164376	3165696	+
1154	CP049185	1	4246728	4248064	+
1154	CP049175	1	3079053	3080373	+
1154	CP049175	1	3374220	3375541	-
1154	CP019689	1	760317	761641	+
1154	CP019689	1	952044	953364	+
1154	CP019689	1	1991279	1992599	+
1154	CP019689	1	2012810	2014130	+
1154	CP019689	1	3093608	3094944	+
1154	CP019689	1	4297121	4298442	-
1154	CP049177	1	833526	834862	+
1154	CP049177	1	2037048	2038369	-
1154	CP049177	1	3374393	3375717	+
